
10th_Percentage,12th_Percentage,BTech_Percentage,Nationality,Income,Physically_Disabled,Extracurricular,Gender,Caste,Scholarship_Eligibility
85,90,75,Indian,200000,No,Yes,Male,General,1
65,80,70,Non-Indian,400000,Yes,No,Female,SC,0
85,90,75,Indian,200000,No,Yes,Male,General,1
65,80,70,Non-Indian,400000,Yes,No,Female,SC,0
75,85,80,Indian,300000,No,Yes,Female,General,1
55,70,60,Non-Indian,350000,No,No,Male,ST,0
90,92,85,Indian,250000,No,Yes,Male,BC,1
80,88,78,Non-Indian,450000,Yes,No,Female,General,0
70,75,72,Indian,200000,No,Yes,Male,SC,1
60,65,70,Non-Indian,500000,Yes,Yes,Female,BC,0
78,80,74,Indian,300000,No,Yes,Male,General,1
68,72,65,Non-Indian,400000,Yes,No,Female,SC,0
82,88,80,Indian,220000,No,Yes,Male,BC,1
69,77,73,Non-Indian,350000,No,Yes,Female,ST,0
88,90,85,Indian,280000,No,No,Male,General,1
65,70,68,Non-Indian,320000,Yes,Yes,Female,General,0
75,82,76,Indian,250000,No,No,Male,SC,1
80,85,82,Non-Indian,380000,No,Yes,Female,BC,1
72,78,70,Indian,220000,Yes,No,Female,ST,0
65,72,75,Non-Indian,390000,Yes,Yes,Male,General,0
78,80,77,Indian,270000,No,Yes,Female,BC,1
90,92,89,Non-Indian,300000,No,No,Male,General,1
71,75,70,Indian,230000,Yes,Yes,Female,SC,0
80,85,75,Non-Indian,400000,No,No,Male,General,1
60,65,60,Indian,450000,Yes,No,Female,ST,0
67,74,72,Non-Indian,350000,No,Yes,Male,SC,0
82,85,80,Indian,260000,Yes,Yes,Female,BC,1
75,80,77,Non-Indian,370000,No,Yes,Male,ST,0
85,90,82,Indian,220000,Yes,No,Female,General,1
78,82,79,Non-Indian,330000,No,Yes,Male,BC,1
70,75,73,Indian,300000,No,Yes,Female,SC,0
65,70,69,Non-Indian,480000,Yes,No,Male,General,0
74,80,76,Indian,250000,Yes,Yes,Female,ST,0
88,90,84,Non-Indian,320000,No,Yes,Male,BC,1
77,82,75,Indian,350000,No,Yes,Female,General,1
90,92,86,Non-Indian,210000,Yes,No,Male,SC,1
80,85,80,Indian,230000,Yes,Yes,Female,General,1
69,74,71,Non-Indian,350000,No,No,Male,BC,0
78,83,79,Indian,270000,Yes,Yes,Female,SC,1
65,70,67,Non-Indian,400000,No,No,Male,ST,0
80,87,83,Indian,290000,Yes,No,Female,General,1
72,80,75,Non-Indian,300000,Yes,Yes,Male,BC,0
67,73,70,Indian,400000,No,No,Female,SC,0
85,90,80,Non-Indian,250000,No,Yes,Male,General,1
88,92,85,Indian,220000,Yes,No,Female,BC,1
75,80,74,Non-Indian,350000,Yes,Yes,Male,SC,0
77,82,78,Indian,280000,No,Yes,Female,ST,0
70,75,70,Non-Indian,380000,No,No,Male,General,1
65,70,68,Indian,500000,Yes,Yes,Female,BC,0
82,85,83,Non-Indian,350000,No,Yes,Male,SC,1
88,90,84,Indian,300000,No,Yes,Female,ST,0
75,80,75,Non-Indian,240000,Yes,No,Male,General,1
80,85,78,Indian,220000,Yes,Yes,Female,BC,1
68,72,70,Non-Indian,420000,No,Yes,Male,SC,0
82,88,84,Indian,230000,No,No,Female,General,1
75,80,77,Non-Indian,310000,Yes,Yes,Male,ST,0
70,75,74,Indian,350000,No,Yes,Female,BC,1
85,90,82,Non-Indian,300000,Yes,No,Male,General,1
77,82,79,Indian,290000,No,Yes,Female,SC,0
65,70,68,Non-Indian,400000,Yes,No,Male,ST,0
78,85,80,Indian,220000,No,Yes,Female,General,1
80,85,83,Non-Indian,330000,Yes,Yes,Male,BC,0
75,80,78,Indian,250000,No,No,Female,SC,1
80,85,80,Non-Indian,380000,Yes,No,Male,ST,0
67,72,71,Indian,300000,No,Yes,Female,General,1
85,88,82,Non-Indian,450000,Yes,Yes,Male,SC,1
70,75,70,Indian,350000,No,Yes,Female,BC,0
88,92,85,Non-Indian,220000,Yes,No,Male,ST,0
80,85,81,Indian,270000,No,Yes,Female,General,1
65,70,67,Non-Indian,400000,Yes,Yes,Male,SC,0
75,80,75,Indian,250000,No,Yes,Female,BC,1
78,85,82,Non-Indian,300000,No,No,Male,SC,0
85,90,84,Indian,280000,Yes,Yes,Female,General,1
72,80,78,Non-Indian,350000,No,Yes,Male,BC,1
77,80,76,Indian,290000,Yes,No,Female,ST,0
65,70,69,Non-Indian,400000,No,No,Male,General,0
80,85,80,Indian,300000,Yes,No,Female,SC,1
72,78,75,Non-Indian,320000,No,Yes,Male,ST,0
85,90,84,Indian,250000,Yes,Yes,Female,General,1
77,82,79,Non-Indian,350000,No,Yes,Male,SC,0
80,85,82,Indian,200000,Yes,Yes,Female,ST,0
75,80,78,Non-Indian,300000,Yes,No,Male,General,1
88,92,86,Indian,270000,No,Yes,Female,BC,1
81,87,78,Indian,230000,No,Yes,Female,General,1
72,80,74,Non-Indian,310000,Yes,No,Male,SC,0
85,90,82,Indian,260000,No,Yes,Female,BC,1
77,80,78,Non-Indian,280000,Yes,Yes,Male,ST,0
90,92,86,Indian,240000,No,Yes,Female,General,1
70,75,73,Non-Indian,350000,Yes,No,Male,BC,0
88,92,85,Indian,300000,Yes,No,Female,SC,0
77,85,80,Non-Indian,320000,No,Yes,Male,BC,1
79,85,76,Indian,250000,No,Yes,Female,ST,0
80,90,83,Non-Indian,340000,No,No,Male,General,1
65,70,69,Indian,390000,Yes,Yes,Female,BC,0
78,85,80,Non-Indian,260000,No,Yes,Male,ST,1
82,88,85,Indian,270000,Yes,No,Female,General,1
65,75,72,Non-Indian,350000,No,Yes,Male,SC,0
90,92,88,Indian,210000,Yes,No,Female,BC,1
77,82,80,Non-Indian,300000,Yes,No,Male,ST,0
70,80,75,Indian,220000,Yes,Yes,Female,SC,1
85,90,81,Non-Indian,400000,No,Yes,Male,General,1
70,75,71,Indian,320000,Yes,No,Female,BC,0
78,80,79,Non-Indian,300000,Yes,Yes,Male,ST,0
81,88,84,Indian,240000,No,Yes,Female,General,1
68,75,72,Non-Indian,350000,Yes,No,Male,BC,0
85,90,85,Indian,260000,Yes,Yes,Female,SC,1
75,85,78,Non-Indian,300000,No,Yes,Male,ST,0
85,92,89,Indian,280000,No,Yes,Female,General,1
70,78,72,Non-Indian,250000,Yes,No,Male,SC,0
88,90,83,Indian,240000,No,Yes,Female,BC,1
77,82,79,Non-Indian,350000,Yes,No,Male,ST,0
78,85,80,Indian,220000,No,Yes,Female,SC,1
75,80,75,Non-Indian,270000,No,No,Male,General,0
88,92,85,Indian,320000,Yes,Yes,Female,BC,1
70,75,72,Non-Indian,250000,No,Yes,Male,ST,1
82,85,80,Indian,300000,Yes,No,Female,SC,0
80,88,85,Non-Indian,240000,Yes,No,Male,BC,1
78,85,79,Indian,230000,Yes,No,Female,ST,0
72,78,74,Non-Indian,380000,No,Yes,Male,SC,0
